MMSI,shipType,shipTypeSpecific
264163330,Tug,"Inland, Tug, single"
264163331,Fishing,Fishing Vessel
264163332,Passenger,"Inland, Ferry"
264163342,Passenger,Passenger Ship
264163344,Cargo,"Inland, Motor Freighter"
264163345,Cargo,"Inland, Motor Freighter"
264163347,Cargo,"Inland, Pushtow, three cargo barges"
264163348,Cargo,"Inland, Motor Freighter"
264163349,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
264163353,Cargo,"Inland, Motor Freighter with Ships Alongside"
264163354,Tanker,Oil Products Tanker
264163355,Pilot Vessel,Pilot Vessel
264163357,Tug,"Inland, Tug, one or more tows"
264163358,Tanker,"Inland, Motor Tanker"
264163367,Passenger,"Inland, Passenger Ship without Accommodation"
264163375,Cargo,"Inland, Motor Freighter"
264163378,Passenger,Passenger Ship
264163380,Cargo,Cargo
264163382,Tug,"Inland, Tug, single"
264163391,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
264163405,Cargo,"Inland, Tug, Freighter"
264163415,Dredger,"Inland, Maintainance Craft, Cableship, Dredger"
264163425,Cargo,"Inland, Pushtow, one cargo barge"
264163428,Cargo,"Inland, Pushtow, two cargo barges"
264163433,Passenger,Passenger Ship
264163434,Passenger,Passenger Ship
264163442,Cargo,"Inland, Pushtow, one cargo barge"
264163452,Tug,Tug
264163453,Cargo,Inland Cargo
264163454,Tug,Tug
264163456,Tug,"Inland, Tug, single"
264163457,Tug,"Inland, Tug, single"
264800005,SAR,SAR
264800054,Military Ops,Military Ops
264800057,Sailing Vessel,Sailing Vessel
264800076,Military Ops,Military Ops
264800077,Military Ops,Military Ops
264800078,Tug,Tug
264800085,Military Ops,Military Ops
264800090,Military Ops,Military Ops
264800093,Tug,Tug
264900044,Tug,Tug
264900045,Tug,Tug
264900065,Tug,Tug
264900073,Tanker,Chemical Tanker
264900077,SAR,SAR
264900078,Anti-Pollution,Anti-Pollution
264900081,Anti-Pollution,Anti-Pollution
264900109,Port Tender,Port Tender
264900113,Fishing,Fishing Vessel
264900119,Fishing,Trawler
264900133,Tug,Tug
264900134,Tug,Tug
264900143,SAR,SAR
264900148,Law Enforce,Law Enforce
264900160,Law Enforce,Law Enforce
264900161,Law Enforce,Law Enforce
264900162,Law Enforce,Law Enforce
264900165,Law Enforce,Law Enforce
264900172,Law Enforce,Law Enforce
264900174,Law Enforce,Law Enforce
264900176,Law Enforce,Law Enforce
264900180,Law Enforce,Law Enforce
264900181,Law Enforce,Law Enforce
264900186,Tug,Tug
264900187,Tug,Tug
264900192,Other,Crane Ship
264900193,Tug,Tug
264900197,Tug,Tug
264900201,Tug,Tug
264900203,Tug,"Inland, Tug, single"
264900207,Tug,Tug
264900212,Tug,Tug
264900215,Tug,Tug
264900216,Pilot Vessel,Pilot Vessel
264900219,Pilot Vessel,Pilot Vessel
264900220,Tug,Tug
264900221,Sailing Vessel,Sailing Vessel
264900222,Pilot Vessel,Pilot Vessel
264900223,Pilot Vessel,Pilot Vessel
264900229,Pilot Vessel,Pilot Vessel
264900230,Pilot Vessel,Pilot Vessel
264900234,Tug,Tug
264900235,Pilot Vessel,Pilot Vessel
264900236,Tug,Tug
264900238,Tug,Tug
264900239,Tug,"Inland, Tug, single"
264900249,Tug,Tug
264900253,Tug,Tug
264900262,Tug,Tug
264900264,Military Ops,Military Ops
264900269,Pilot Vessel,Pilot Vessel
264900282,Sailing Vessel,Sailing Vessel
264900288,Tug,Tug
264900295,Pilot Vessel,Pilot Vessel
264900298,Pilot Vessel,Pilot Vessel
264900299,Fishing,Fishing Vessel
264900302,Tug,Tug
264900303,Tug,Tug
264900307,Pilot Vessel,Pilot Vessel
264900317,Pilot Vessel,Pilot Vessel
264900318,Tug,Tug
264900321,Pilot Vessel,Pilot Vessel
264900324,Pilot Vessel,Pilot Vessel
264900329,Tug,Tug/Supply Vessel
264900331,Tug,Tug
264900332,Tug,Tug
264900333,Tug,Tug
264900338,Tug,Tug
264900340,Tug,Tug
264900341,Tug,Salvage/Rescue Vessel
264900342,Pilot Vessel,Pilot Vessel
264900349,SAR,SAR
264900350,SAR,SAR
264900353,Sailing Vessel,Sailing Vessel
264900354,Tug,Tug
264900360,Sailing Vessel,Sailing Vessel
264900361,Tug,Tug
264900371,Pleasure Craft,Pleasure Craft
264900376,Tug,Tug
264900377,Tug,"Inland, Tug, single"
264900390,Anti-Pollution,Anti-Pollution
264900396,Tug,Tug
264900397,Sailing Vessel,Sailing Vessel
264900398,Tug,Tug
264900411,Tug,Tug
264900430,Tug,Tug
264900435,Tug,Tug
265884000,Cargo,Vehicles Carrier
267010008,Cargo,"Inland, Pushtow, three cargo barges"
267010010,Cargo,"Inland, Pushtow, six cargo barges"
267010011,Cargo,"Inland, Pushtow, four cargo barges"
267010012,Cargo,"Inland, Pushtow, two cargo barges"
267010022,Cargo,"Inland, Pushtow, four cargo barges"
267010024,Cargo,"Inland, Pushtow, two cargo barges"
267010029,Cargo,"Inland, Pushtow, four cargo barges"
267010030,Cargo,"Inland, Pushtow, two cargo barges"
267132116,Cargo,"Inland, Motor Freighter"
267210031,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
267210059,Tanker,"Inland, Motor Tanker"
267210062,Cargo,"Inland, Pushtow, four cargo barges"
267210080,Tanker,"Inland, Motor Tanker, liquid cargo, type N"
267210084,Cargo,"Inland, Pushtow, four cargo barges"
267210089,Cargo,"Inland, Motor Freighter"
267210116,Cargo,"Inland, Pushtow, four cargo barges"
267210148,Cargo,"Inland, Pushtow, three cargo barges"
267210154,Cargo,"Inland, Pushtow, one cargo barge"
267210158,Tanker,"Inland, Motor Tanker"
267210159,Cargo,"Inland, General Cargo maritime"
267210176,Cargo,"Inland, Motor Freighter"
267210221,Cargo,Inland Cargo
267210223,Cargo,Inland Cargo
267210232,Tanker,Tanker
267210234,Cargo,"Inland, Motor Freighter"
267210236,Cargo,"Inland, Pushtow, three cargo barges"
267210237,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
267210241,Cargo,"Inland, Motor Freighter"
267210244,Cargo,"Inland, Motor Freighter"
267210250,Cargo,Cargo
267210253,Cargo,"Inland, Motor Freighter"
267210255,Cargo,"Inland, General Cargo maritime"
267210262,Cargo,"Inland, Motor Freighter"
267210270,Cargo,"Inland, Motor Freighter"
267211000,Cargo,"Inland, Motor Freighter"
269047000,Cargo,Bulk Carrier
269057047,Cargo,"Inland, Motor Freighter"
269057231,Passenger,"Inland, Cruise Ship"
269057275,Passenger,"Inland, Cruise Ship"
269057484,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057540,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057616,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057622,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057624,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057626,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057650,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057664,Passenger,"Inland, Cruise Ship"
269057694,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057729,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269057741,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
269144000,Cargo,Bulk Carrier
269806000,Cargo,Bulk Carrier
269837000,Cargo,Bulk Carrier
271000050,Cargo,General Cargo
271000195,Cargo,General Cargo
271000200,Cargo - Hazard D (Recognizable),General Cargo
271000220,Cargo,General Cargo
271000253,Cargo,General Cargo
271000261,Cargo,General Cargo
271000266,Cargo,General Cargo
271000267,Cargo,General Cargo
271000269,Cargo,General Cargo
271000325,Cargo,General Cargo
271000388,Cargo,General Cargo
271000414,Cargo,General Cargo
271000426,Cargo,Ro-Ro Cargo
271000506,Cargo,General Cargo
271000538,High Speed Craft,High Speed Craft
271000578,Cargo,Container Ship
271000601,Cargo,General Cargo
271000609,Cargo - Hazard C (Minor),Container Ship
271000623,Cargo - Hazard A (Major),Ro-Ro Cargo
271000642,Cargo,Bulk Carrier
271000647,Cargo - Hazard D (Recognizable),Container Ship
271000653,Cargo,General Cargo
271000661,Cargo - Hazard A (Major),Ro-Ro Cargo
271000662,Cargo,Ro-Ro Cargo
271000677,Cargo,Container Ship
271000683,Passenger,Ro-Ro/Passenger Ship
271000691,Cargo,Container Ship
271000716,Tanker,Oil Products Tanker
271000724,Cargo,Cargo
271000732,Cargo,General Cargo
271000733,High Speed Craft,High Speed Craft
271000742,Cargo,Container Ship
271000744,Cargo - Hazard A (Major),Container Ship
271000747,Cargo - Hazard A (Major),Ro-Ro Cargo
271000748,Cargo - Hazard A (Major),Ro-Ro Cargo
271000766,Cargo,General Cargo
271000770,Cargo,General Cargo
271000773,Tanker,Crude Oil Tanker
271000781,Cargo,General Cargo
271000792,Cargo - Hazard A (Major),Ro-Ro Cargo
271000793,Cargo - Hazard A (Major),Ro-Ro Cargo
271000829,Cargo,General Cargo
271000833,Cargo,General Cargo
271000845,Cargo,Bulk Carrier
271000854,Cargo,General Cargo
271000862,Cargo,Cargo/Containership
271000871,Cargo,General Cargo
271000874,Cargo,Bulk Carrier
271000882,Tanker,LPG Tanker
271000903,Tanker,Oil Products Tanker
271000906,High Speed Craft,High Speed Craft
271000907,High Speed Craft,High Speed Craft
271000910,Cargo,General Cargo
271000930,Cargo,General Cargo
271000936,Tanker,Oil Products Tanker
271000973,Cargo,Bulk Carrier
271000975,Passenger,Ro-Ro/Passenger Ship
271000976,Passenger,Ro-Ro/Passenger Ship
271001000,Tanker,Oil/Chemical Tanker
271001012,Tanker,Tanker
271001021,Tug,Tug
271001022,Tug,Tug
271001029,Cargo,General Cargo
271001031,Passenger,Ro-Ro/Passenger Ship
271001039,Passenger,Ro-Ro/Passenger Ship
271001057,Cargo - Hazard A (Major),Container Ship
271001058,Cargo - Hazard A (Major),Container Ship
271001068,Tug,Tug
271001083,Passenger,Passenger Ship
271001090,Pleasure Craft,Pleasure Craft
271001092,Cargo,Container Ship
271001113,Passenger,Passenger Ship
271001125,Tanker - Hazard D (Recognizable),Oil Products Tanker
271001134,Pleasure Craft,Pleasure Craft
271001146,Tug,Tug
271001154,Sailing Vessel,Sailing Vessel
271001169,Passenger,Passenger Ship
271001173,Tug,Tug
271001175,Tanker,Oil Products Tanker
271001176,Passenger,Passenger Ship
271001209,Passenger,Passenger Ship
271001247,Pleasure Craft,Pleasure Craft
271001254,Cargo,Bulk Carrier
271001277,Tug,Tug
271002007,Cargo,General Cargo
271002018,Cargo,General Cargo
271002023,Cargo,General Cargo
271002035,Cargo,General Cargo
271002040,Cargo,General Cargo
271002044,Cargo,General Cargo
271002064,Dredger,Research/Survey Vessel
271002067,Cargo,General Cargo
271002083,Cargo,General Cargo
271002096,Cargo,General Cargo
271002103,Cargo,General Cargo
271002106,Cargo,Cargo
271002108,Cargo,General Cargo
271002132,Cargo,General Cargo
271002164,Tanker,Oil Products Tanker
271002176,Tanker,Oil Products Tanker
271002180,Cargo,General Cargo
271002181,Tanker,Water Tanker
271002200,Anti-Pollution,Anti-Pollution
271002201,Tanker,Crude Oil Tanker
271002215,Cargo,General Cargo
271002224,Cargo - Hazard A (Major),General Cargo
271002242,Cargo,General Cargo
271002250,Tanker,Oil Products Tanker
271002256,Cargo - Hazard A (Major),General Cargo
271002259,Cargo,General Cargo
271002272,Tug,Offshore Supply Ship
271002290,Cargo,General Cargo
271002307,High Speed Craft,High Speed Craft
271002308,High Speed Craft,High Speed Craft
271002310,High Speed Craft,High Speed Craft
271002316,High Speed Craft,High Speed Craft
271002326,High Speed Craft,High Speed Craft
271002328,High Speed Craft,High Speed Craft
271002336,Tug,Tug
271002337,Tug,Tug
271002342,High Speed Craft,High Speed Craft
271002352,Cargo,General Cargo
271002353,Cargo,General Cargo
271002360,Tanker,Bunkering Tanker
271002366,Tanker,Oil Products Tanker
271002377,Cargo,General Cargo
271002381,High Speed Craft,High Speed Craft
271002383,High Speed Craft,High Speed Craft
271002384,Tanker,General Cargo
271002391,Tanker,Oil Products Tanker
271002395,Tanker,Oil Products Tanker
271002403,Tanker,General Cargo
271002427,Cargo,General Cargo
271002438,Tug,Tug
271002448,Tanker,Bunkering Tanker
271002456,Tanker,Oil/Chemical Tanker
271002464,Passenger,Passenger Ship
271002465,Passenger,Passenger Ship
271002466,High Speed Craft,High Speed Craft
271002467,High Speed Craft,High Speed Craft
271002468,High Speed Craft,High Speed Craft
271002469,High Speed Craft,High Speed Craft
271002470,High Speed Craft,High Speed Craft
271002471,High Speed Craft,High Speed Craft
271002472,High Speed Craft,High Speed Craft
271002473,High Speed Craft,High Speed Craft
271002474,High Speed Craft,High Speed Craft
271002475,High Speed Craft,High Speed Craft
271002476,High Speed Craft,High Speed Craft
271002477,High Speed Craft,High Speed Craft
271002478,High Speed Craft,High Speed Craft
271002482,Cargo,Ro-Ro/Passenger Ship
271002488,Passenger,Ro-Ro/Passenger Ship
271002497,Passenger,Passenger Ship
271002498,Passenger,Passenger Ship
271002499,Passenger,Ro-Ro/Passenger Ship
271002500,Passenger,Ro-Ro/Passenger Ship
271002502,Passenger,Ro-Ro/Passenger Ship
271002503,Passenger,Ro-Ro/Passenger Ship
271002504,Passenger,Ro-Ro/Passenger Ship
271002505,Passenger,Passenger Ship
271002506,Passenger,Passenger Ship
271002508,Passenger,Passenger Ship
271002509,Pleasure Craft,Passenger Ship
271002511,Passenger,Passenger Ship
271002518,Passenger,Passenger Ship
271002519,Passenger,Passenger Ship
271002522,Passenger,Passenger Ship
271002523,Passenger,Passenger Ship
271002524,Passenger,Passenger Ship
271002526,Passenger,Passenger Ship
271002527,Passenger,Passenger Ship
271002529,Pleasure Craft,Passenger Ship
271002533,Passenger,Ro-Ro/Passenger Ship
271002544,Passenger,Ro-Ro/Passenger Ship
271002559,Tanker,Oil/Chemical Tanker
271002565,Cargo,Ro-Ro/Passenger Ship
271002569,Cargo,Bulk Carrier
271002571,Cargo,Ro-Ro Cargo
271002572,Cargo - Hazard A (Major),Ro-Ro Cargo
271002573,Passenger,Passenger Ship
271002574,Tug,Tug
271002577,Passenger,Passenger Ship
271002578,Passenger,Ro-Ro/Passenger Ship
271002598,Cargo,General Cargo
271002599,Passenger,Passenger Ship
271002601,Tanker - Hazard C (Minor),Oil/Chemical Tanker
271002602,Passenger,Passenger Ship
271002603,Tanker,Oil/Chemical Tanker
271002604,Passenger,Passenger Ship
271002605,Passenger,Passenger Ship
271002606,Passenger,Passenger Ship
271002607,Passenger,Passenger Ship
271002610,Passenger,Ro-Ro/Passenger Ship
271002615,Passenger,Ro-Ro/Passenger Ship
271002617,Passenger,Passenger Ship
271002624,Passenger,Passenger Ship
271002637,Passenger,Passenger Ship
271002638,Passenger,Passenger Ship
271002642,Cargo,General Cargo
271002648,Tug,Tug
271002668,Tanker,Oil/Chemical Tanker
271002672,Tug,Tug
271002673,Tug,Tug
271002675,Passenger,Passenger Ship
271002676,Cargo - Hazard A (Major),Ro-Ro Cargo
271002685,Tanker,Oil/Chemical Tanker
271002688,Tanker,Oil/Chemical Tanker
271002711,Passenger,Passenger Ship
271002721,Cargo,Bulk Carrier
271002726,Tanker,Oil/Chemical Tanker
271002732,Cargo,General Cargo
271002735,Cargo,Ro-Ro/Passenger Ship
271002736,Passenger,Passenger Ship
271003364,Tanker,Oil Products Tanker
271005004,Tug,Tug
271005005,Tug,Tug
271008504,Dredger,Research/Survey Vessel
271010006,Tanker - Hazard D (Recognizable),Tanker - Hazard D (Recognizable)
271010014,Tug,Tug
271010019,Tug,Tug
271010033,SAR,SAR
271010034,SAR,SAR
271010036,SAR,SAR
271010083,Passenger,Passenger Ship
271010092,Pilot Vessel,Pilot Vessel
271010093,Pilot Vessel,Pilot Vessel
271010094,Pilot Vessel,Pilot Vessel
271010111,Tanker,Bunkering Tanker
271010112,Tug,Tug
271010126,Tanker - Hazard A (Major),Oil Products Tanker
271010128,Tanker,Oil Products Tanker
271010146,Tanker,Tanker
271010152,Passenger,Ro-Ro/Passenger Ship
271010156,Passenger,Ro-Ro/Passenger Ship
271010160,Passenger,Ro-Ro/Passenger Ship
271010162,Passenger,Ro-Ro/Passenger Ship
271010164,Tanker,Tanker
271010171,Dive Vessel,Dive Vessel
271010172,Tanker,Bunkering Tanker
271010185,Passenger,Passenger Ship
271010186,Passenger,Passenger Ship
271010187,Tanker,Oil Products Tanker
271010189,Cargo,Ro-Ro/Passenger Ship
271010191,Tanker,Tanker
271010192,Tanker,Water Tanker
271010193,Tanker,Tanker
271010194,Tanker,Water Tanker
271010198,Tanker - Hazard A (Major),Bunkering Tanker
271010206,Tanker,Tanker
271010209,Tanker,Chemical Tanker
271010221,Port Tender,Port Tender
271010233,Port Tender,Port Tender
271010247,Cargo,Ro-Ro/Passenger Ship
271010248,Tug,Tug
271010255,Passenger,Passenger Ship
271010257,Tanker,Oil Products Tanker
271010261,Passenger,Passenger Ship
271010262,Passenger,Passenger Ship
271010263,Passenger,Passenger Ship
271010264,Passenger,Passenger Ship
271010265,Passenger,Passenger Ship
271010266,Passenger,Passenger Ship
271010267,Passenger,Passenger Ship
271010268,Passenger,Passenger Ship
271010269,Passenger,Passenger Ship
271010270,Passenger,Passenger Ship
271010271,Passenger,Passenger Ship
271010272,Passenger,Passenger Ship
271010273,Passenger,Passenger Ship
271010278,Passenger,Passenger Ship
271010280,Passenger,Passenger Ship
271010281,Passenger,Passenger Ship
271010282,Passenger,Passenger Ship
271010283,Passenger,Passenger Ship
271010284,Passenger,Passenger Ship
271010285,Passenger,Passenger Ship
271010286,Passenger,Passenger Ship
271010288,Passenger,Passenger Ship
271010289,Passenger,Passenger Ship
271010290,Passenger,Passenger Ship
271010291,Passenger,Passenger Ship
271010292,Passenger,Passenger Ship
271010293,Passenger,Passenger Ship
271010294,Passenger,Passenger Ship
271010295,Passenger,Passenger Ship
271010296,Passenger,Passenger Ship
271010297,Passenger,Passenger Ship
271010298,Passenger,Passenger Ship
271010299,Passenger,Passenger Ship
271010300,Passenger,Passenger Ship
271010301,Passenger,Passenger Ship
271010302,Passenger,Passenger Ship
271010303,Passenger,Passenger Ship
271010304,Passenger,Passenger Ship
271010306,Passenger,Passenger Ship
271010307,Passenger,Passenger Ship
271010308,Passenger,Passenger Ship
271010309,Passenger,Passenger Ship
271010310,Passenger,Passenger Ship
271010311,Passenger,Passenger Ship
271010312,Passenger,Passenger Ship
271010314,Passenger,Passenger Ship
271010315,Passenger,Passenger Ship
271010316,Passenger,Passenger Ship
271010317,Passenger,Passenger Ship
271010321,Passenger,Passenger Ship
271010322,Passenger,Passenger Ship
271010323,Passenger,Passenger Ship
271010324,Passenger,Passenger Ship
271010326,Passenger,Passenger Ship
271010327,Pleasure Craft,Pleasure Craft
271010328,Passenger,Passenger Ship
271010332,Passenger,Passenger Ship
271010335,Pleasure Craft,Pleasure Craft
271010336,Passenger,Passenger Ship
271010337,Pleasure Craft,Pleasure Craft
271010338,Passenger,Passenger Ship
271010339,Passenger,Passenger Ship
271010340,Pleasure Craft,Passenger Ship
271010362,Tanker,Oil Products Tanker
271010367,Anti-Pollution,Anti-Pollution
271010373,Port Tender,Port Tender
271010378,Passenger,Passenger Ship
271010379,Tanker,Tanker
271010388,Passenger,Passenger Ship
271010389,Passenger,Passenger Ship
271010394,Passenger,Passenger Ship
271010395,Passenger,Passenger Ship
271010396,Passenger,Passenger Ship
271010398,Passenger,Passenger Ship
271010399,Passenger,Passenger Ship
271010402,Port Tender,Port Tender
271010403,Port Tender,Port Tender
271010406,Passenger,Passenger Ship
271010409,Pleasure Craft,Pleasure Craft
271010418,Pleasure Craft,Pleasure Craft
271010428,Passenger,Passenger Ship
271010436,Passenger,Passenger Ship
271010447,Tanker,Tanker
271010449,Passenger,Passenger Ship
271010451,Dive Vessel,Dive Vessel
271010452,Dive Vessel,Dive Vessel
271010455,Tanker,Oil Products Tanker
271010457,Pleasure Craft,Pleasure Craft
271010460,Passenger,Passenger Ship
271010473,Tanker,Bunkering Tanker
271010474,Tanker,Bunkering Tanker
271010476,Port Tender,Port Tender
271010477,Passenger,Passenger Ship
271010478,Pleasure Craft,Pleasure Craft
271010488,Passenger,Passenger Ship
271010504,Passenger,Passenger Ship
271010505,Passenger,Passenger Ship
271010506,Pleasure Craft,Pleasure Craft
271010508,Passenger,Passenger Ship
271010509,Passenger,Passenger Ship
271010511,Pleasure Craft,Pleasure Craft
271010513,Passenger,Passenger Ship
271010514,Passenger,Passenger Ship
271010516,Passenger,Passenger Ship
271010518,Passenger,Passenger Ship
271010522,Passenger,Passenger Ship
271010523,Passenger,Passenger Ship
271010524,Passenger,Passenger Ship
271010525,Passenger,Passenger Ship
271010526,Passenger,Passenger Ship
271010527,Passenger,Passenger Ship
271010529,Passenger,Passenger Ship
271010530,Passenger,Passenger Ship
271010531,Passenger,Passenger Ship
271010533,Passenger,Passenger Ship
271010534,Passenger,Passenger Ship
271010535,Tanker,Tanker
271010536,Passenger,Passenger Ship
271010537,Pleasure Craft,Pleasure Craft
271010538,Passenger,Passenger Ship
271010539,Passenger,Passenger Ship
271010540,Passenger,Passenger Ship
271010541,Passenger,Passenger Ship
271010543,Port Tender,Port Tender
271010552,Pleasure Craft,Pleasure Craft
271010564,Passenger,Passenger Ship
271010566,Passenger,Passenger Ship
271010571,Pleasure Craft,Pleasure Craft
271010572,Sailing Vessel,Sailing Vessel
271010577,Passenger,Passenger Ship
271010584,Anti-Pollution,Anti-Pollution
271010585,Anti-Pollution,Anti-Pollution
271010586,Anti-Pollution,Anti-Pollution
271010587,Port Tender,Port Tender
271010598,Port Tender,Port Tender
271010599,Passenger,Passenger Ship
271010603,Passenger,Passenger Ship
271010609,Pleasure Craft,Pleasure Craft
271010610,Passenger,Passenger Ship
271010614,Passenger,Passenger Ship
271010619,Passenger,Passenger Ship
271010624,Port Tender,Port Tender
271010627,Port Tender,Port Tender
271010635,Passenger,Passenger Ship
271010636,Port Tender,Port Tender
271010642,Passenger,Passenger Ship
271010643,Passenger,Passenger Ship
271010644,Passenger,Passenger Ship
271010647,Passenger,Passenger Ship
271010654,Tanker - Hazard B,Tanker - Hazard B
271010655,Passenger,Passenger Ship
271010660,Pleasure Craft,Pleasure Craft
271010662,Tanker,Oil Products Tanker
271010664,Tug,Tug
271010666,Passenger,Passenger Ship
271010676,Passenger,Passenger Ship
271010677,Passenger,Passenger Ship
271010683,Passenger,Passenger Ship
271010691,Pilot Vessel,Pilot Vessel
271010698,Pleasure Craft,Pleasure Craft
271010706,Port Tender,Port Tender
271010707,Passenger,Passenger Ship
271010708,Cargo,Cargo
271010710,Passenger,Passenger Ship
271010711,Port Tender,Port Tender
271010730,Passenger,Passenger Ship
271010731,Passenger,Passenger Ship
271010737,Pleasure Craft,Pleasure Craft
271010738,Pleasure Craft,Pleasure Craft
271010740,Tug,Tug
271010742,Passenger,Passenger Ship
271010745,Port Tender,Port Tender
271010749,Dive Vessel,Dive Vessel
271010761,Port Tender,Port Tender
271010767,Pilot Vessel,Pilot Vessel
271010768,Pilot Vessel,Pilot Vessel
271010769,Pilot Vessel,Pilot Vessel
271010770,Pilot Vessel,Pilot Vessel
271010771,Pilot Vessel,Pilot Vessel
271010775,Pilot Vessel,Pilot Vessel
271010793,Pleasure Craft,Pleasure Craft
271010794,Pleasure Craft,Pleasure Craft
271010795,Passenger,Passenger Ship
271010796,Passenger,Passenger Ship
271010803,Tug,Tug
271010808,Passenger,Ro-Ro/Passenger Ship
271010809,Tug,Tug
271010810,Tug,Tug
271010813,Anti-Pollution,Anti-Pollution
271010830,Tanker,Tanker
271010836,Passenger,Passenger Ship
271010847,Dive Vessel,Dive Vessel
271010849,Port Tender,Port Tender
271010856,Fishing,Fishing Vessel
271010858,Tanker,Oil Products Tanker
271010868,Pleasure Craft,Pleasure Craft
271010875,Pilot Vessel,Pilot Vessel
271010876,Passenger,Passenger Ship
271010894,Passenger,Passenger Ship
271010895,Passenger,Passenger Ship
271010904,Pleasure Craft,Pleasure Craft
271010905,Passenger,Passenger Ship
271010906,Tug,Towing Vessel
271010912,Passenger,Passenger Ship
271015017,Passenger,Passenger Ship
271015025,Tug,Tug
271020021,Pleasure Craft,Pleasure Craft
271020043,Pleasure Craft,Pleasure Craft
271020080,Pleasure Craft,Pleasure Craft
271020083,Cargo,Cargo
271020087,Pleasure Craft,Pleasure Craft
271020094,Pleasure Craft,Pleasure Craft
271020096,Pleasure Craft,Pleasure Craft
271020099,Pleasure Craft,Pleasure Craft
271020101,Pleasure Craft,Pleasure Craft
271020102,Pleasure Craft,Pleasure Craft
271020106,Pleasure Craft,Pleasure Craft
271020118,Pleasure Craft,Pleasure Craft
271020122,Pleasure Craft,Pleasure Craft
271020124,Sailing Vessel,Sailing Vessel
271020131,Pleasure Craft,Pleasure Craft
271020132,Pleasure Craft,Pleasure Craft
271020133,Pleasure Craft,Pleasure Craft
271020137,Pleasure Craft,Pleasure Craft
271020139,Port Tender,Port Tender
271020147,Pleasure Craft,Pleasure Craft
271020172,Pleasure Craft,Pleasure Craft
271020183,Pleasure Craft,Pleasure Craft
271020188,Pleasure Craft,Pleasure Craft
271020192,Pleasure Craft,Pleasure Craft
271020195,Pleasure Craft,Pleasure Craft
271020201,Passenger,Passenger Ship
271030017,Law Enforce,Law Enforce
271030064,Law Enforce,Law Enforce
271030076,Law Enforce,Law Enforce
271030078,Law Enforce,Law Enforce
271030079,Law Enforce,Law Enforce
271030085,Military Ops,Military Ops
271030089,Law Enforce,Law Enforce
271030095,Law Enforce,Law Enforce
271030098,Law Enforce,Law Enforce
271030131,Law Enforce,Law Enforce
271030133,Law Enforce,Law Enforce
271030140,SAR,SAR
271030145,Law Enforce,Law Enforce
271035133,Military Ops,Military Ops
271035214,Military Ops,Military Ops
271035216,Wing In Grnd,Wing In Grnd
271040008,Cargo - Hazard A (Major),Container Ship
271040015,Passenger,Passenger Ship
271040016,Passenger,Passenger Ship
271040024,Passenger,Ro-Ro/Passenger Ship
271040027,Passenger,Passenger Ship
271040029,Tanker,Oil/Chemical Tanker
271040031,Dive Vessel,Dive Vessel
271040038,Tanker,Oil/Chemical Tanker
271040040,Passenger,Passenger Ship
271040047,Fishing,Fishing Vessel
271040049,Passenger,Passenger Ship
271040052,Pleasure Craft,Pleasure Craft
271040062,Passenger,Passenger Ship
271040085,Pleasure Craft,Pleasure Craft
271040109,Tug,Tug
271040117,Passenger,Ro-Ro/Passenger Ship
271040150,Cargo,General Cargo
271040151,Dredger,Dredger
271040153,Passenger,Passenger Ship
271040174,Passenger,Passenger Ship
271040181,Pleasure Craft,Pleasure Craft
271040182,Cargo,Cargo
271040189,Tanker,Oil Products Tanker
271040202,Port Tender,Port Tender
271040223,Passenger,Passenger Ship
271040236,Pleasure Craft,Pleasure Craft
271040291,Tanker,Oil/Chemical Tanker
271040296,Passenger,Passenger Ship
271040297,Pleasure Craft,Pleasure Craft
271040306,Anti-Pollution,Anti-Pollution
271040307,Passenger,Passenger Ship
271040311,Cargo,Bulk Carrier
271040314,Cargo,General Cargo
271040315,Tanker,Bunkering Tanker
271040318,Port Tender,Port Tender
271040321,Port Tender,Port Tender
271040325,Passenger,Passenger Ship
271040378,Passenger,Passenger Ship
271040397,Tanker,Oil/Chemical Tanker
271040405,Cargo,Bulk Carrier
271040455,Tanker,Oil Products Tanker
271040492,Dive Vessel,Dive Vessel
271040530,Passenger,Passenger Ship
271040573,Passenger,Passenger Ship
271040583,Cargo,General Cargo
271040601,Tanker,Oil/Chemical Tanker
271040608,Passenger,Passenger Ship
271040610,Tanker - Hazard B,Oil Products Tanker
271040618,Pleasure Craft,Pleasure Craft
271040624,Pleasure Craft,Pleasure Craft
271040635,Cargo - Hazard A (Major),Container Ship
271040667,Pleasure Craft,Pleasure Craft
